Data,Preço médio,Volume,até 150 g,até 300 g,até 425 g,Total de sacolas,Sacolas pequenas,Sacolas grandes,Sacolas extragrandes,Tipo,Ano,Cidade,Data padrão BR,Receita,Porcentagem 150 g,Porcentagem 300 g,Porcentagem 425 g
2015-12-27,1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0.0,conventional,2015,Albany,27/12/2015,85434.70460000001,1.6139392141118258,84.77228409589421,0.07497281145863527
2015-12-20,1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0.0,conventional,2015,Albany,20/12/2015,74083.92300000001,1.2287119298474514,81.34341576376833,0.10629229232366648
2015-12-13,0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0.0,conventional,2015,Albany,13/12/2015,109944.8046,0.6722200313956446,92.32741234959637,0.11038720787357695
2015-12-06,1.08,78992.15,1132.0,71976.41,72.58,5811.16,5677.4,133.76,0.0,conventional,2015,Albany,06/12/2015,85311.522,1.433053790788072,91.11843392033259,0.09188254782279
2015-11-29,1.28,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0.0,conventional,2015,Albany,29/11/2015,65330.688,1.844606932656212,85.89093566564001,0.1484729504149719
2015-11-22,1.26,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0.0,conventional,2015,Albany,22/11/2015,70534.5228,2.1155317152014534,85.86670044076628,0.0779031285939316
2015-11-15,0.99,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0.0,conventional,2015,Albany,15/11/2015,82619.2224,1.640333521221812,88.27968925546315,0.1117505071071693
2015-11-08,0.98,109428.33,703.75,101815.36,80.0,6829.22,6266.85,562.37,0.0,conventional,2015,Albany,08/11/2015,107239.7634,0.643114995906453,93.04296245771091,0.07310721090233215
2015-11-01,1.02,99811.42,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0.0,conventional,2015,Albany,01/11/2015,101807.6484,1.02408121235025,87.4805408038479,0.08550123823506368
2015-10-25,1.07,74338.76,842.4,64757.44,113.0,8625.92,8061.47,564.45,0.0,conventional,2015,Albany,25/10/2015,79542.4732,1.1331908145898586,87.11127277344956,0.1520068400387631
2015-10-18,1.12,84843.44,924.86,75595.85,117.07,8205.66,7877.86,327.8,0.0,conventional,2015,Albany,18/10/2015,95024.65280000001,1.0900783843747965,89.10040658417434,0.13798356125117037
2015-10-11,1.28,64489.17,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0.0,conventional,2015,Albany,11/10/2015,82546.1376,2.4531715945483556,81.68490926460986,0.16331424330627917
2015-10-04,1.31,61007.1,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0.0,conventional,2015,Albany,04/10/2015,79919.301,3.7181246117255204,81.76207359471275,0.16614459628469472
2015-09-27,0.99,106803.39,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0.0,conventional,2015,Albany,27/09/2015,105735.3561,1.1281289854189085,93.07683023918997,0.14497667162062927
