Data,Preço médio,Volume,até 150 g,até 300 g,até 425 g,Total de sacolas,Sacolas pequenas,Sacolas grandes,Sacolas extragrandes,Tipo,Ano,Cidade,Data padrão BR,Receita
2015-12-27,1.13,147713.85,2992.62,101109.84,5754.75,37856.64,30738.09,2919.24,4199.31,conventional,2015,GrandRapids,27/12/2015,166916.6505
2015-12-20,1.13,126262.26,2630.11,85259.91,3211.51,35160.73,30547.62,2288.36,2324.75,conventional,2015,GrandRapids,20/12/2015,142676.35379999998
2015-12-13,1.24,117645.69,3809.88,69582.68,3264.07,40989.06,38257.02,2231.37,500.67,conventional,2015,GrandRapids,13/12/2015,145880.6556
2015-12-06,0.93,217174.66,4026.57,165454.45,15635.86,32057.78,26570.4,1560.59,3926.79,conventional,2015,GrandRapids,06/12/2015,201972.43380000003
2015-11-29,1.12,120552.43,3726.77,82760.11,3336.97,30728.58,27835.71,2816.43,76.44,conventional,2015,GrandRapids,29/11/2015,135018.72160000002
2015-11-22,1.11,140981.22,3734.97,94794.75,5725.81,36725.69,33606.78,2327.22,791.69,conventional,2015,GrandRapids,22/11/2015,156489.15420000002
2015-11-15,1.2,129448.75,3490.77,74695.44,2506.31,48756.23,47301.23,1427.26,27.74,conventional,2015,GrandRapids,15/11/2015,155338.5
2015-11-08,0.93,198257.69,3970.87,149876.75,7556.57,36853.5,34956.27,1819.27,77.96,conventional,2015,GrandRapids,08/11/2015,184379.65170000002
2015-11-01,0.91,205592.1,3731.64,147281.28,8605.43,45973.75,43392.69,1757.12,823.94,conventional,2015,GrandRapids,01/11/2015,187088.81100000002
2015-10-25,1.14,134921.44,3899.73,86434.9,9431.21,35155.6,30487.72,3036.22,1631.66,conventional,2015,GrandRapids,25/10/2015,153810.4416
2015-10-18,0.94,184806.99,3821.47,118521.96,17329.17,45134.39,40257.54,1830.77,3046.08,conventional,2015,GrandRapids,18/10/2015,173718.57059999998
2015-10-11,0.97,198769.54,3638.99,106363.84,49279.06,39487.65,21799.3,2155.38,15532.97,conventional,2015,GrandRapids,11/10/2015,192806.4538
2015-10-04,0.99,160322.48,3241.7,102316.58,18103.36,36660.84,29446.94,2198.98,5014.92,conventional,2015,GrandRapids,04/10/2015,158719.2552
2015-09-27,1.15,137849.61,2977.77,87274.97,13024.28,34572.59,28888.74,1913.24,3770.61,conventional,2015,GrandRapids,27/09/2015,158527.05149999997
2015-09-20,0.88,244696.01,3612.73,177686.12,9651.55,53745.61,51686.05,1815.57,243.99,conventional,2015,GrandRapids,20/09/2015,215332.48880000002
2015-09-13,0.95,219380.93,4113.5,143018.46,20439.94,51809.03,43865.37,2851.68,5091.98,conventional,2015,GrandRapids,13/09/2015,208411.8835
2015-09-06,1.09,170309.3,3673.53,111964.57,6016.37,48654.83,45108.48,3486.89,59.46,conventional,2015,GrandRapids,06/09/2015,185637.137
2015-08-30,0.91,226898.73,3931.2,152332.2,16719.44,53915.89,48562.08,2309.09,3044.72,conventional,2015,GrandRapids,30/08/2015,206477.84430000003
2015-08-23,1.28,128681.94,4847.16,72826.86,5459.79,45548.13,40204.96,4716.36,626.81,conventional,2015,GrandRapids,23/08/2015,164712.8832
2015-08-16,0.89,268902.14,5134.58,177609.75,20395.04,65762.77,55316.85,6674.12,3771.8,conventional,2015,GrandRapids,16/08/2015,239322.9046
2015-08-09,1.08,186733.16,4807.41,120579.39,8389.85,52956.51,49559.83,3294.27,102.41,conventional,2015,GrandRapids,09/08/2015,201671.8128
2015-08-02,1.05,184067.49,4122.95,109853.88,10359.57,59731.09,55048.69,4030.14,652.26,conventional,2015,GrandRapids,02/08/2015,193270.8645
2015-07-26,1.12,153868.79,3192.59,66065.84,9957.92,74652.44,69267.05,4085.24,1300.15,conventional,2015,GrandRapids,26/07/2015,172333.04480000003
2015-07-19,1.05,215736.47,2680.7,122122.69,29478.33,61454.75,52697.22,3806.21,4951.32,conventional,2015,GrandRapids,19/07/2015,226523.2935
2015-07-12,1.19,153112.84,4663.59,66045.81,9833.58,72569.86,66368.31,4901.72,1299.83,conventional,2015,GrandRapids,12/07/2015,182204.27959999998
